variant,corruption_type,target_rate,actual_rate,corrupted_cells,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
categorical_oob_10,categorical_oob,0.1,0.09627767486989504,2183,TEST,K99Sub,0.9195554379465467,0.9312318613982447,0.9144160278945648,0.917996773594872,0.927448522160401,0.9195554379465467,0.9187596515405093,0.2935262830201322,0.8454806800920764,0.8368177170764302,0.9800917513282389,0.9800917513282389,0.9800917513282389,0.9772804283132526,0.9312318613982447,0.9312318613982447,0.927448522160401,0.9350152006360883,0.8751642575558476,0.9872994652406417
categorical_oob_10,categorical_oob,0.1,0.09996739307646324,22074,VAL,NTD1,0.9574479647845225,0.9386128343470675,0.7720100445569047,0.8319243389860973,0.956014621726612,0.9574479647845225,0.9524829062618708,0.15808855506607664,0.6908171874352175,0.665393000309642,0.9771319784437321,0.9771319784437321,0.9771319784437321,0.8026005111569264,0.9386128343470675,0.9386128343470675,0.956014621726612,0.9212110469675231,0.9176470588235294,0.9595786098706057
categorical_oob_10,categorical_oob,0.1,0.100596887850298,22213,TEST,NTD1,0.9549662156042245,0.9367368821007964,0.7564954595029274,0.8186396144391366,0.9534729480887045,0.9549662156042245,0.9491441146706576,0.1658833270938249,0.6693908492243364,0.639270918064859,0.9759268755096904,0.9759268755096904,0.9759268755096904,0.7871450115673012,0.9367368821007964,0.9367368821007964,0.9534729480887045,0.9200008161128882,0.9165722914307286,0.9569014727708642
categorical_oob_10,categorical_oob,0.1,0.10067351325531407,21076,VAL,NTD2,0.7374014807738237,0.8167608762820746,0.7221043694032789,0.7107243792582396,0.808300018188288,0.7374014807738237,0.7158646780166494,0.6039911283015903,0.5304864736381513,0.4573765177061071,0.9007897054675466,0.9007897054675466,0.9007897054675466,0.9024066493223079,0.8167608762820746,0.8167608762820746,0.808300018188288,0.825221734375861,0.961355214399153,0.6721665381649962
categorical_oob_10,categorical_oob,0.1,0.09975161213279198,20883,TEST,NTD2,0.7350131358968235,0.8193488826004359,0.7193291902257829,0.7068150478450694,0.8105639089854763,0.7350131358968235,0.7121354418170986,0.60553188487905,0.5293109929720419,0.45201406639999975,0.9000363975753114,0.9000363975753114,0.9000363975753114,0.8980018786826334,0.8193488826004359,0.8193488826004359,0.8105639089854763,0.8281338562153956,0.9694822888283379,0.669215476372534
categorical_oob_10,categorical_oob,0.1,0.09970744730330598,214375,VAL,WII21,0.9996037283027293,0.9975032885074939,0.9995745225395275,0.9985363543051259,0.9996053488217088,0.9996037283027293,0.9996041398910164,0.0020486144174353075,0.997075659753012,0.9970727097826687,0.9999990043006469,0.9999990043006469,0.9999990043006469,0.99999992177864,0.9975032885074939,0.9975032885074939,0.9996053488217088,0.9954012281932791,0.9999638680461044,0.9950427089688835
categorical_oob_10,categorical_oob,0.1,0.09975628360402597,214480,TEST,WII21,0.9995814031366859,0.9973513580199607,0.9995624664738335,0.9984540042565129,0.9995832403649108,0.9995814031366859,0.999581867350652,0.0020889048062385017,0.9969113724229697,0.9969080099249159,0.9999988349633508,0.9999988349633508,0.9999988349633508,0.9999999084830169,0.9973513580199607,0.9973513580199607,0.9995832403649108,0.9951194756750109,0.9999638673933335,0.9947388486465879
categorical_oob_10,categorical_oob,0.1,0.0997377712191628,267916,VAL,global_weighted,0.979187833502668,0.9768703872401305,0.9322823345076199,0.9446153710305963,0.9814356872611424,0.979187833502668,0.9769234339933243,0.06274652554662259,0.901243383032536,0.8912019566506013,0.9912677531841947,0.9912677531841947,0.9912677531841947,0.9526077127314388,0.9768703872401305,0.9768703872401305,0.9814356872611424,0.972305087219119,0.9785921639650208,0.9751486105152404
categorical_oob_10,categorical_oob,0.1,0.09977239256586617,268009,TEST,global_weighted,0.9786078288626309,0.976509909327057,0.9288787901815284,0.941670145064187,0.9810102712412065,0.9786078288626309,0.976121312431324,0.06459092409067015,0.8967184052926723,0.8854744272942348,0.990927510094218,0.990927510094218,0.990927510094218,0.9489063093925337,0.976509909327057,0.976509909327057,0.9810102712412065,0.9720095474129075,0.9786428561055134,0.9743769625486006
feature_dropout_10,feature_dropout,0.1,0.10033842165898617,8361,VAL,I23Sub,0.9254032258064516,0.9623874528027883,0.5503472222222222,0.5719413792824403,0.9310147751866809,0.9254032258064516,0.8963868650299955,0.12367138765251798,0.3051551988023751,0.17037419735773862,0.995381639098269,0.995381639098269,0.995381639098269,0.9836958788307126,0.9623874528027883,0.9623874528027883,0.9310147751866809,0.9937601304188958,1.0,0.9247749056055765
feature_dropout_10,feature_dropout,0.1,0.10128648233486943,8440,TEST,I23Sub,0.9248271889400922,0.9621080139372822,0.5484429065743944,0.5686359073077873,0.9305240831580469,0.9248271889400922,0.8953609688113975,0.1249293662119297,0.2992380680758565,0.16436870642912482,0.99217512585785,0.99217512585785,0.99217512585785,0.975258328857597,0.9621080139372822,0.9621080139372822,0.9305240831580469,0.9936919447165176,1.0,0.9242160278745645
feature_dropout_10,feature_dropout,0.1,0.10191488849864082,8473,VAL,K99Sub,0.9142630325482932,0.921451600777256,0.9101402257591951,0.9129564257476928,0.9186900730719594,0.9142630325482932,0.9136816912935984,0.31873171944962153,0.8315148938879158,0.8264364612768047,0.9762009883788663,0.9762009883788663,0.9762009883788663,0.974395499186614,0.921451600777256,0.921451600777256,0.9186900730719594,0.9242131284825527,0.8808453237410072,0.9620578778135048
feature_dropout_10,feature_dropout,0.1,0.09914840385864467,8243,TEST,K99Sub,0.9177030960571579,0.923712921382936,0.9140081723061131,0.9165720952740143,0.9212609126500185,0.9177030960571579,0.9172275616369726,0.3186404126308882,0.8376648784907557,0.8335485848282325,0.9758423997609422,0.9758423997609422,0.9758423997609422,0.9750204278118866,0.923712921382936,0.923712921382936,0.9212609126500185,0.9261649301158535,0.8873751135331517,0.9600507292327204
feature_dropout_10,feature_dropout,0.1,0.0996717899060163,60524,VAL,NTD1,0.9452747133307973,0.9309333286790302,0.6945021939714734,0.7600875058323822,0.9437722318532417,0.9452747133307973,0.9350378699637198,0.1715794549513204,0.5790249662441214,0.5250857667388187,0.9740916102563937,0.9740916102563937,0.9740916102563937,0.803110497961047,0.9309333286790302,0.9309333286790302,0.9437722318532417,0.9180944255048189,0.9154649428145202,0.9464017145435404
