variant,target_label_noise_rate,actual_label_noise_rate,noisy_train_labels,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
label_noise_30,0.3,0.2999814826245293,4860,TEST,I23Sub,0.9798387096774194,0.9892407008914847,0.8788927335640138,0.925664201856682,0.9802725523834078,0.9798387096774194,0.9785592847288864,0.4201856541648825,0.8610917408303222,0.8515508852341261,0.9798583956507702,0.9798583956507702,0.9798583956507702,0.9436879012124696,0.9892407008914847,0.9892407008914847,0.9802725523834078,0.9982088493995616,1.0,0.9784814017829696
label_noise_30,0.3,0.2999886582737893,5290,VAL,K99Sub,0.8830378406985975,0.9018492353998468,0.875841025320666,0.8797485942623211,0.8969806267007319,0.8830378406985975,0.881101132396918,0.56885198930804,0.7772552441946059,0.7618193536979417,0.9558519041291637,0.9558519041291637,0.9558519041291637,0.9356442171910416,0.9018492353998468,0.9018492353998468,0.8969806267007319,0.9067178440989616,0.8302598491198658,0.9734386216798278
label_noise_30,0.3,0.2999886582737893,5290,TEST,K99Sub,0.8809208785392961,0.8989557437098421,0.8738827232991762,0.8776596112042516,0.8942582047736938,0.8809208785392961,0.8790074607511501,0.5701735754227029,0.7724316408177073,0.7576044123394756,0.95106211279043,0.95106211279043,0.95106211279043,0.9284199067445388,0.8989557437098421,0.8989557437098421,0.8942582047736938,0.9036532826459904,0.8293400588482556,0.9685714285714284
label_noise_30,0.3,0.299998835453455,77283,VAL,NTD1,0.9150046193141677,0.4575023096570838,0.5,0.4778080481298598,0.837233453366265,0.9150046193141677,0.8743931423686158,0.2734215689705285,0.0,0.0,0.981133575725649,0.981133575725649,0.981133575725649,0.8720093975980017,0.4575023096570838,0.4575023096570838,0.837233453366265,0.0777711659479027,0.0,0.9150046193141677
label_noise_30,0.3,0.299998835453455,77283,TEST,NTD1,0.9149865043566472,0.4574932521783236,0.5,0.4778031084161834,0.8372003031547969,0.9149865043566472,0.8743667918809278,0.2755182268096516,0.0,0.0,0.9790214961874286,0.9790214961874286,0.9790214961874286,0.8578192439727292,0.4574932521783236,0.4574932521783236,0.8372003031547969,0.0777862012018503,0.0,0.9149865043566472
label_noise_30,0.3,0.2999897640616203,11723,VAL,NTD2,0.7854072128015286,0.8143406871022841,0.7760105578725454,0.7758976924060167,0.8095510241268213,0.7854072128015286,0.7785989474748868,0.6275102458234947,0.5891055878503978,0.5617499251093683,0.9375073264501336,0.9375073264501336,0.9375073264501336,0.9169735381324928,0.8143406871022841,0.8143406871022841,0.8095510241268213,0.819130350077747,0.8961950498707055,0.7324863243338627
label_noise_30,0.3,0.2999897640616203,11723,TEST,NTD2,0.7931693336517793,0.8238131217056199,0.7837222190169003,0.7838812531869233,0.8187777574714208,0.7931693336517793,0.7865028888020036,0.6269766098251732,0.6062111098853538,0.5775357262406358,0.9422253027655518,0.9422253027655518,0.9422253027655518,0.9234175739865867,0.8238131217056199,0.8238131217056199,0.8187777574714208,0.8288484859398192,0.90986646884273,0.73775977456851
label_noise_30,0.3,0.2999997608010295,250837,VAL,WII21,0.9271474019088016,0.4635737009544008,0.5,0.4810983326913553,0.8596023048662411,0.9271474019088016,0.8920981384348928,0.2651351523424696,0.0,0.0,0.9982296490866638,0.9982296490866638,0.9982296490866638,0.9998552962879792,0.4635737009544008,0.4635737009544008,0.8596023048662411,0.0675450970425606,0.9271474019088016,0.0
label_noise_30,0.3,0.2999997608010295,250837,TEST,WII21,0.9271529832003126,0.4635764916001563,0.5,0.4810998354996408,0.8596126542572391,0.9271529832003126,0.8921062954013432,0.2651982026404325,0.0,0.0,0.9980509630993616,0.9980509630993616,0.9980509630993616,0.999839423503052,0.4635764916001563,0.4635764916001563,0.8596126542572391,0.0675403289430735,0.9271529832003126,0.0
label_noise_30,0.3,0.2999987999807997,349993,VAL,global_weighted,0.9198073584588676,0.4879205844759511,0.5203275140942476,0.5025419784610569,0.8552503397513029,0.9198073584588676,0.8854484246873867,0.2858774508634224,0.0436088136938343,0.0423485147605143,0.9914768851500296,0.9914768851500296,0.9914768851500296,0.9670420040346012,0.4879205844759511,0.4879205844759511,0.8552503397513029,0.1205908292005992,0.7209309247171628,0.2549102442347394
